Date,Calls - NHS24 111,Calls - Coronavirus helpline
2020-03-17,6977,6772
2020-03-18,5568,4930
2020-03-19,4774,3271
2020-03-20,4789,2693
2020-03-21,11620,1304
2020-03-22,10824,1824
2020-03-23,11904,6895
2020-03-24,8573,3959
2020-03-25,8520,3030
2020-03-26,7803,2490
2020-03-27,7401,2015
2020-03-28,9001,925
2020-03-29,7534,861
2020-03-30,7018,2469
2020-03-31,5343,1415
2020-04-01,5333,1255
2020-04-02,4609,1233
2020-04-03,4534,1146
2020-04-04,7682,538
2020-04-05,6865,464
2020-04-06,5310,1246
2020-04-07,4428,984
2020-04-08,4215,907
2020-04-09,4057,791
2020-04-10,3927,595
2020-04-11,7743,286
2020-04-12,7040,271
2020-04-13,3602,506
2020-04-14,3826,679
2020-04-15,3400,626
2020-04-16,3413,581
2020-04-17,3499,499
2020-04-18,7415,193
2020-04-19,6616,152
2020-04-20,3555,520
2020-04-21,3005,380
2020-04-22,3061,420
2020-04-23,3009,364
2020-04-24,3206,385
2020-04-25,7368,158
2020-04-26,6729,140
2020-04-27,3460,495
2020-04-28,3288,440
2020-04-29,3415,518
2020-04-30,3333,490
2020-05-01,3264,434
2020-05-02,7791,196
2020-05-03,7103,207
2020-05-04,3534,554
2020-05-05,3159,347
2020-05-06,2940,304
2020-05-07,2944,304
2020-05-08,3085,273
2020-05-09,7605,141
2020-05-10,6532,135
2020-05-11,3084,349
2020-05-12,2883,293
2020-05-13,2767,302
2020-05-14,2763,265
2020-05-15,2845,247
2020-05-16,7433,110
2020-05-17,6524,111
2020-05-18,3463,359
2020-05-19,3196,248
2020-05-20,2912,219
2020-05-21,2925,274
2020-05-22,3055,232
2020-05-23,7122,89
2020-05-24,6862,106
2020-05-25,3168,214
2020-05-26,2876,248
2020-05-27,2637,264
