Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-09-11,*,*,*,*,*,*,25,*,10,*,*,*,*,*,*
2020-09-12,*,*,*,*,*,*,25,*,6,*,*,*,*,*,*
2020-09-13,*,*,*,*,*,*,25,*,7,*,*,*,*,*,*
2020-09-14,5,*,*,*,*,*,26,*,10,*,*,*,*,*,*
2020-09-15,*,*,*,*,*,*,22,*,9,*,*,*,*,*,*
2020-09-16,*,*,*,*,*,*,25,*,9,*,*,*,*,*,*
2020-09-17,*,*,*,*,*,*,27,*,9,*,*,*,*,*,*
2020-09-18,*,*,*,*,*,*,33,*,9,5,*,*,*,*,*
2020-09-19,*,*,*,*,5,*,35,*,10,5,*,*,*,*,*
2020-09-20,*,*,*,*,5,*,34,*,10,5,*,*,*,*,*
2020-09-21,*,*,*,*,*,*,40,*,12,5,*,*,*,*,*
2020-09-22,*,*,*,*,*,*,37,*,13,6,*,*,*,*,*
2020-09-23,5,*,*,*,*,*,40,*,18,7,*,*,*,*,*
2020-09-24,*,*,*,*,*,*,38,*,23,8,*,*,*,*,*
2020-09-25,5,*,*,*,*,*,41,*,20,11,*,*,*,*,*
2020-09-26,7,*,*,*,*,*,45,*,22,11,*,*,*,*,*
2020-09-27,5,*,*,*,7,*,46,*,24,11,*,*,*,*,*
2020-09-28,5,*,*,*,6,*,51,*,33,17,*,*,*,*,*
2020-09-29,*,*,*,*,6,*,51,*,34,16,*,*,*,*,*
2020-09-30,5,*,*,*,5,*,60,*,33,24,*,*,*,*,*
