Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-09-11,*,*,*,*,*,*,25,*,10,*,*,*,*,*,*
2020-09-12,*,*,*,*,*,*,25,*,6,*,*,*,*,*,*
2020-09-13,*,*,*,*,*,*,25,*,7,*,*,*,*,*,*
2020-09-14,5,*,*,*,*,*,26,*,10,*,*,*,*,*,*
2020-09-15,*,*,*,*,*,*,22,*,9,*,*,*,*,*,*
2020-09-16,*,*,*,*,*,*,25,*,9,*,*,*,*,*,*
2020-09-17,*,*,*,*,*,*,27,*,9,*,*,*,*,*,*
2020-09-18,*,*,*,*,*,*,33,*,9,5,*,*,*,*,*
2020-09-19,*,*,*,*,5,*,35,*,10,5,*,*,*,*,*
2020-09-20,*,*,*,*,5,*,34,*,10,5,*,*,*,*,*
2020-09-21,*,*,*,*,*,*,40,*,12,5,*,*,*,*,*
2020-09-22,*,*,*,*,*,*,37,*,13,6,*,*,*,*,*
2020-09-23,5,*,*,*,*,*,40,*,18,7,*,*,*,*,*
2020-09-24,*,*,*,*,*,*,38,*,23,8,*,*,*,*,*
2020-09-25,5,*,*,*,*,*,41,*,20,11,*,*,*,*,*
2020-09-26,7,*,*,*,*,*,45,*,22,11,*,*,*,*,*
2020-09-27,5,*,*,*,7,*,46,*,24,11,*,*,*,*,*
2020-09-28,5,*,*,*,6,*,51,*,33,17,*,*,*,*,*
2020-09-29,*,*,*,*,6,*,51,*,34,16,*,*,*,*,*
2020-09-30,5,*,*,*,5,*,60,*,33,24,*,*,*,*,*
2020-10-01,7,*,*,*,5,*,73,*,38,21,*,*,*,*,*
2020-10-02,9,*,*,*,5,*,87,*,43,19,*,*,*,*,*
2020-10-03,10,*,*,*,9,*,94,*,44,21,*,*,5,*,*
2020-10-04,14,*,*,*,10,*,98,*,50,23,*,*,5,*,*
2020-10-05,15,*,*,*,9,*,95,*,59,23,*,*,6,*,*
2020-10-06,19,*,*,5,13,*,112,*,65,31,*,*,9,*,*
2020-10-07,23,*,*,8,16,*,144,*,72,35,*,*,11,*,*
2020-10-08,22,*,*,7,17,5,177,*,86,39,*,*,13,*,*
2020-10-09,23,*,5,5,17,7,189,*,86,43,*,*,14,*,*
2020-10-10,26,*,*,5,15,11,204,*,92,53,*,*,13,*,*
2020-10-11,25,*,*,*,18,11,214,*,103,47,*,*,14,*,*
2020-10-12,29,6,6,*,19,14,220,*,114,54,*,*,16,*,*
2020-10-13,35,6,6,6,24,17,248,5,109,53,*,*,17,*,*
2020-10-14,36,5,6,7,29,20,257,5,122,65,*,*,17,*,*
2020-10-15,40,5,6,12,28,21,276,5,124,64,*,*,19,*,*
2020-10-16,47,5,5,11,28,23,290,*,139,60,*,*,15,*,*
