Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-09-11,*,*,*,*,*,*,25,*,10,*,*,*,*,*,*
2020-09-12,*,*,*,*,*,*,25,*,6,*,*,*,*,*,*
2020-09-13,*,*,*,*,*,*,25,*,7,*,*,*,*,*,*
2020-09-14,5,*,*,*,*,*,26,*,10,*,*,*,*,*,*
2020-09-15,*,*,*,*,*,*,22,*,9,*,*,*,*,*,*
2020-09-16,*,*,*,*,*,*,25,*,9,*,*,*,*,*,*
2020-09-17,*,*,*,*,*,*,27,*,9,*,*,*,*,*,*
2020-09-18,*,*,*,*,*,*,33,*,9,5,*,*,*,*,*
2020-09-19,*,*,*,*,5,*,35,*,10,5,*,*,*,*,*
2020-09-20,*,*,*,*,5,*,34,*,10,5,*,*,*,*,*
2020-09-21,*,*,*,*,*,*,40,*,12,5,*,*,*,*,*
2020-09-22,*,*,*,*,*,*,37,*,13,6,*,*,*,*,*
2020-09-23,5,*,*,*,*,*,40,*,18,7,*,*,*,*,*
2020-09-24,*,*,*,*,*,*,38,*,23,8,*,*,*,*,*
2020-09-25,5,*,*,*,*,*,41,*,20,11,*,*,*,*,*
2020-09-26,7,*,*,*,*,*,45,*,22,11,*,*,*,*,*
2020-09-27,5,*,*,*,7,*,46,*,24,11,*,*,*,*,*
2020-09-28,5,*,*,*,6,*,51,*,33,17,*,*,*,*,*
2020-09-29,*,*,*,*,6,*,51,*,34,16,*,*,*,*,*
2020-09-30,5,*,*,*,5,*,60,*,33,24,*,*,*,*,*
2020-10-01,7,*,*,*,5,*,73,*,38,21,*,*,*,*,*
2020-10-02,9,*,*,*,5,*,87,*,43,19,*,*,*,*,*
2020-10-03,10,*,*,*,9,*,94,*,44,21,*,*,5,*,*
2020-10-04,14,*,*,*,10,*,98,*,50,23,*,*,5,*,*
2020-10-05,15,*,*,*,9,*,95,*,59,23,*,*,6,*,*
2020-10-06,19,*,*,5,13,*,112,*,65,31,*,*,9,*,*
2020-10-07,23,*,*,8,16,*,144,*,72,35,*,*,11,*,*
2020-10-08,22,*,*,7,17,5,177,*,86,39,*,*,13,*,*
2020-10-09,23,*,5,5,17,7,189,*,86,43,*,*,14,*,*
2020-10-10,26,*,*,5,15,11,204,*,92,53,*,*,13,*,*
2020-10-11,25,*,*,*,18,11,214,*,103,47,*,*,14,*,*
2020-10-12,29,6,6,*,19,14,220,*,114,54,*,*,16,*,*
2020-10-13,35,6,6,6,24,17,248,5,109,53,*,*,17,*,*
2020-10-14,36,5,6,7,29,20,257,5,122,65,*,*,17,*,*
2020-10-15,40,5,6,11,28,21,276,5,124,64,*,*,19,*,*
2020-10-16,47,5,5,9,28,23,290,*,139,60,*,*,15,*,*
2020-10-17,50,*,7,12,28,27,306,*,151,65,*,*,16,*,*
2020-10-18,64,5,7,12,27,29,301,*,169,74,*,*,17,*,*
2020-10-19,62,5,5,15,28,29,322,*,185,74,*,*,23,*,*
2020-10-20,57,5,5,18,30,32,344,*,218,83,*,*,25,*,*
2020-10-21,61,5,7,22,25,30,374,*,220,92,*,*,30,*,*
2020-10-22,67,5,9,20,30,30,406,5,227,97,*,*,33,*,*
2020-10-23,71,5,13,21,33,29,412,*,232,106,*,*,45,*,*
2020-10-24,70,6,13,23,34,30,426,*,230,107,*,*,39,*,*
2020-10-25,72,6,13,26,39,30,435,*,243,110,*,*,35,*,*
2020-10-26,83,6,16,27,43,28,446,*,252,108,*,*,37,*,*
2020-10-27,85,7,12,28,46,28,479,*,250,118,*,*,43,*,*
2020-10-28,81,*,10,23,40,27,486,*,254,131,*,*,57,*,*
2020-10-29,83,5,10,24,45,23,499,*,256,143,*,*,60,*,*
2020-10-30,81,*,8,27,45,23,512,*,259,151,*,*,58,*,*
2020-10-31,82,*,9,43,34,24,511,*,243,145,*,*,57,*,*
2020-11-01,88,*,7,46,33,29,527,*,266,140,*,*,60,*,*
2020-11-02,102,*,7,48,40,28,530,*,277,137,*,*,58,*,*
2020-11-03,105,6,6,50,43,32,518,*,281,155,*,*,63,*,*
2020-11-04,105,*,8,51,41,36,493,*,273,181,*,*,60,*,*
2020-11-05,101,*,5,59,46,30,500,*,261,181,*,*,61,*,*
2020-11-06,98,*,5,58,36,30,493,5,275,173,*,*,60,*,*
2020-11-07,102,*,8,55,36,30,477,9,285,182,*,*,57,*,*
2020-11-08,102,*,10,57,33,30,477,9,290,179,*,*,54,*,*
2020-11-09,107,*,9,58,34,32,476,9,276,169,*,*,53,*,*
2020-11-10,108,*,10,57,36,37,481,8,273,171,*,*,55,*,*
2020-11-11,114,*,9,55,32,37,476,8,276,173,*,*,51,*,*
2020-11-12,108,*,8,52,33,36,473,8,267,166,*,*,52,*,*
2020-11-13,106,*,9,56,35,39,490,7,264,166,*,*,53,*,*
2020-11-14,96,*,10,53,35,42,495,*,248,160,*,*,52,*,*
2020-11-15,101,*,11,53,33,46,492,*,262,169,*,*,65,*,*
2020-11-16,102,6,11,54,30,46,476,*,259,171,*,*,67,*,*
2020-11-17,109,8,10,55,33,44,487,*,260,172,*,*,66,*,*
2020-11-18,111,9,10,50,38,48,486,*,252,164,*,*,68,*,*
2020-11-19,122,12,12,52,37,46,456,*,239,163,*,*,66,*,*
2020-11-20,124,11,8,54,36,46,471,*,247,154,*,*,80,*,*
2020-11-21,113,11,9,51,30,47,449,*,252,154,*,*,75,*,*
2020-11-22,114,11,8,52,26,48,431,*,252,150,*,*,75,*,*
2020-11-23,120,11,7,50,26,51,450,*,259,152,*,*,79,*,*
2020-11-24,117,13,7,48,30,49,432,*,254,160,*,*,83,*,*
2020-11-25,107,12,6,55,33,55,415,*,246,155,*,*,69,*,*
2020-11-26,107,12,9,50,33,55,404,*,238,148,*,*,68,*,*
2020-11-27,115,10,7,49,33,52,383,*,232,148,*,*,69,*,*
2020-11-28,103,11,6,46,27,53,373,*,237,146,*,*,69,*,*
2020-11-29,99,8,6,40,26,55,370,*,233,137,*,*,71,*,*
2020-11-30,95,9,5,38,25,54,375,*,231,134,*,*,71,*,*
2020-12-01,95,11,5,36,27,58,364,*,217,132,*,*,72,*,*
2020-12-02,95,10,5,31,27,56,359,*,206,128,*,*,69,*,*
2020-12-03,87,11,5,32,28,57,363,*,190,136,*,*,70,*,*
2020-12-04,90,10,6,28,25,57,365,*,186,132,*,*,63,*,*
2020-12-05,87,9,6,26,31,57,349,*,180,124,*,*,74,*,*
2020-12-06,95,7,6,26,31,58,352,*,180,124,*,*,70,*,*
2020-12-07,99,6,7,29,33,60,349,*,191,124,*,*,74,*,*
2020-12-08,101,6,7,33,31,65,358,*,181,124,*,*,75,*,*
2020-12-09,88,12,7,30,32,60,358,*,180,125,*,*,79,*,*
2020-12-10,97,13,7,35,29,61,349,*,188,129,*,*,75,*,*
2020-12-11,106,14,*,36,34,61,349,*,188,133,*,*,73,*,*
2020-12-12,103,21,*,41,33,63,349,*,166,134,*,*,76,*,*
